movie_id,person_id
0111161,0000209
0111161,0000151
0111161,0348409
0068646,0000008
0068646,0000199
0068646,0001001
0468569,0000288
0468569,0005132
0468569,0001173
0071562,0000199
0071562,0000134
0071562,0000380
0050083,0000020
0050083,0002011
0050083,0000842
0108052,0000553
0108052,0000146
0108052,0001426
0167260,0000704
0167260,0001557
0167260,0005212
0110912,0000237
0110912,0000235
0110912,0000168
0120737,0000704
0120737,0005212
0120737,0089217
0060196,0000142
0060196,0908919
0060196,0001812
0109830,0000158
0109830,0000705
0109830,0000641
0137523,0000093
0137523,0001570
0137523,0001533
0167261,0000704
0167261,0005212
0167261,0001557
1375666,0000138
1375666,0330687
1375666,0680983
0080684,0000434
0080684,0000148
0080684,0000402
0133093,0000206
0133093,0000401
0133093,0005251
0099685,0000134
0099685,0000501
0099685,0000582
0073486,0000197
0073486,0001221
0073486,0077720
0114369,0000151
0114369,0000093
0114369,0000228
0038650,0000071
0038650,0001656
0038650,0000859
0047478,0001536
0047478,0793766
0047478,0875477
0102926,0000149
0102926,0000164
0102926,0095029
0120815,0000158
0120815,0000354
0120815,0001744
0317248,1179105
0317248,1129884
0317248,0618690
0816692,0000190
0816692,0004266
0816692,1567113
